code	name
0	WSR0
1	WSR1
2	WSR2
3	WSR3
4	WSR4
5	WSR5
6	WSR6
7	WSR7
8	WSR8
9	WSR9
10	WSR10
11	WSR11
12	WSR12
13	WSR13
14	WSR14
15	WSR15
16	WSR16
17	WSR17
18	WSR18
19	WSR19
20	WSR20
21	WSR21
22	WSR22
23	WSR23
24	WSR_PK
25	WSR_AV
26	T0
27	T1
28	T2
29	T3
30	T4
31	T5
32	T6
33	T7
34	T8
35	T9
36	T10
37	T11
38	T12
39	T13
40	T14
41	T15
42	T16
43	T17
44	T18
45	T19
46	T20
47	T21
48	T22
49	T23
50	T_PK
51	T_AV
52	T85
53	RH85
54	U85
55	V85
56	HT85
57	T70
58	RH70
59	U70
60	V70
61	HT70
62	T50
63	RH50
64	U50
65	V50
66	HT50
67	KI
68	TT
69	SLP
70	SLP_
71	Precp
